timestep,rel_error
1,1.0
200,9.717298e-01
400,9.096463e-01
600,8.301723e-01
800,7.693129e-01
1000,7.346353e-01
1200,7.075698e-01
1400,6.835664e-01
1600,6.496113e-01
1800,6.212392e-01
2000,5.946794e-01
2200,5.724999e-01
2400,5.519437e-01
2600,5.335278e-01
2800,5.128232e-01
3000,4.961060e-01
3200,4.823578e-01
3400,4.701054e-01
3600,4.584580e-01
3800,4.493733e-01
4000,4.398908e-01
4200,4.313010e-01
4400,4.244108e-01
4600,4.178410e-01
4800,4.124116e-01
5000,4.077538e-01
5500,3.960113e-01
6000,3.868122e-01
6500,3.792825e-01
7000,3.743328e-01
7500,3.709172e-01
8000,3.684036e-01
8500,3.657353e-01
9000,3.642330e-01
9500,3.628738e-01
10000,3.617848e-01
